Postaja,Leto,Mesec,NO2
nova gorica,2014,Maj,17.0
trbovlje,2014,Maj,12.0
zagorje,2014,Maj,13.0
koper,2014,Maj,14.0
vrbanski plato,2014,Maj,8.0
vnajnarje,2014,Maj,5.0
zavodnje,2014,Maj,4.0
skale,2014,Maj,5.0
kovk,2014,Maj,5.0
dobovec,2014,Maj,13.0
sv. mohor,2014,Maj,4.0
lj center,2014,Maj,34.0
amp gaji,2014,Maj,17.0
zelena trava,2014,Maj,7.0
ljubljana bezigrad,2014,Jun,18.0
maribor,2014,Jun,30.0
celje,2014,Jun,24.0
murska sobota-rakican,2014,Jun,8.0
nova gorica,2014,Jun,15.0
trbovlje,2014,Jun,14.0
zagorje,2014,Jun,12.0
koper,2014,Jun,14.0
vrbanski plato,2014,Jun,7.0
vnajnarje,2014,Jun,6.0
zavodnje,2014,Jun,5.0
skale,2014,Jun,5.0
kovk,2014,Jun,5.0
dobovec,2014,Jun,11.0
sv. mohor,2014,Jun,6.0
lj center,2014,Jun,35.0
amp gaji,2014,Jun,17.0
zelena trava,2014,Jun,10.0
ljubljana bezigrad,2014,Jul,19.0
maribor,2014,Jul,23.0
celje,2014,Jul,22.0
murska sobota-rakican,2014,Jul,7.0
nova gorica,2014,Jul,16.0
trbovlje,2014,Jul,14.0
zagorje,2014,Jul,15.0
koper,2014,Jul,14.0
vrbanski plato,2014,Jul,7.0
vnajnarje,2014,Jul,7.0
zavodnje,2014,Jul,5.0
skale,2014,Jul,3.0
kovk,2014,Jul,9.0
dobovec,2014,Jul,10.0
sv. mohor,2014,Jul,6.0
lj center,2014,Jul,33.0
amp gaji,2014,Jul,14.0
zelena trava,2014,Jul,15.0
ljubljana bezigrad,2014,Avg,16.0
maribor,2014,Avg,23.0
celje,2014,Avg,21.0
murska sobota-rakican,2014,Avg,6.0
nova gorica,2014,Avg,15.0
trbovlje,2014,Avg,11.0
zagorje,2014,Avg,12.0
koper,2014,Avg,11.0
vrbanski plato,2014,Avg,7.0
vnajnarje,2014,Avg,4.0
zavodnje,2014,Avg,6.0
skale,2014,Avg,5.0
kovk,2014,Avg,5.0
dobovec,2014,Avg,6.0
sv. mohor,2014,Avg,5.0
lj center,2014,Avg,34.0
amp gaji,2014,Avg,15.0
zelena trava,2014,Avg,9.0
ljubljana bezigrad,2014,Sep,24.0
maribor,2014,Sep,25.0
celje,2014,Sep,25.0
murska sobota-rakican,2014,Sep,10.0
nova gorica,2014,Sep,16.0
trbovlje,2014,Sep,14.0
zagorje,2014,Sep,16.0
koper,2014,Sep,16.0
vrbanski plato,2014,Sep,8.0
vnajnarje,2014,Sep,5.0
zavodnje,2014,Sep,5.0
skale,2014,Sep,4.0
kovk,2014,Sep,6.0
dobovec,2014,Sep,4.0
sv. mohor,2014,Sep,6.0
lj center,2014,Sep,40.0
amp gaji,2014,Sep,20.0
zelena trava,2014,Sep,11.0
ljubljana bezigrad,2014,Okt,29.0
maribor,2014,Okt,32.0
celje,2014,Okt,28.0
murska sobota-rakican,2014,Okt,15.0
nova gorica,2014,Okt,16.0
trbovlje,2014,Okt,18.0
zagorje,2014,Okt,19.0
koper,2014,Okt,13.0
vrbanski plato,2014,Okt,12.0
vnajnarje,2014,Okt,5.0
zavodnje,2014,Okt,8.0
skale,2014,Okt,9.0
kovk,2014,Okt,7.0
dobovec,2014,Okt,4.0
sv. mohor,2014,Okt,6.0
lj center,2014,Okt,42.0
amp gaji,2014,Okt,23.0
zelena trava,2014,Okt,15.0
ljubljana bezigrad,2014,Nov,27.0
maribor,2014,Nov,32.0
celje,2014,Nov,32.0
murska sobota-rakican,2014,Nov,12.0
nova gorica,2014,Nov,15.0
trbovlje,2014,Nov,21.0
zagorje,2014,Nov,20.0
koper,2014,Nov,19.0
vrbanski plato,2014,Nov,19.0
vnajnarje,2014,Nov,8.0
zavodnje,2014,Nov,8.0
skale,2014,Nov,10.0
kovk,2014,Nov,10.0
dobovec,2014,Nov,5.0
sv. mohor,2014,Nov,10.0
lj center,2014,Nov,40.0
amp gaji,2014,Nov,24.0
zelena trava,2014,Nov,14.0
ljubljana bezigrad,2014,Dec,31.0
maribor,2014,Dec,35.0
celje,2014,Dec,35.0
murska sobota-rakican,2014,Dec,16.0
nova gorica,2014,Dec,12.0
trbovlje,2014,Dec,21.0
zagorje,2014,Dec,24.0
koper,2014,Dec,25.0
vrbanski plato,2014,Dec,19.0
vnajnarje,2014,Dec,9.0
zavodnje,2014,Dec,11.0
skale,2014,Dec,11.0
kovk,2014,Dec,10.0
dobovec,2014,Dec,4.0
sv. mohor,2014,Dec,11.0
lj center,2014,Dec,45.0
amp gaji,2014,Dec,35.0
zelena trava,2014,Dec,14.0
lj bezigrad,2015,Jan,41.0
maribor,2015,Jan,40.0
celje,2015,Jan,40.0
ms rakican,2015,Jan,20.0
nova gorica,2015,Jan,29.0
trbovlje,2015,Jan,23.0
zagorje,2015,Jan,37.0
koper,2015,Jan,25.0
iskrba,2015,Jan,12.0
vnajnarje,2015,Jan,10.0
zavodnje,2015,Jan,11.0
skale,2015,Jan,13.0
kovk,2015,Jan,12.0
dobovec,2015,Jan,5.0
sv. mohor,2015,Jan,11.0
lj center,2015,Jan,49.0
amp gaji,2015,Jan,43.0
zelena trava,2015,Jan,10.0
lj bezigrad,2015,Feb,43.0
maribor,2015,Feb,39.0
celje,2015,Feb,39.0
ms rakican,2015,Feb,18.0
nova gorica,2015,Feb,19.0
trbovlje,2015,Feb,27.0
zagorje,2015,Feb,43.0
koper,2015,Feb,18.0
iskrba,2015,Feb,12.0
vnajnarje,2015,Feb,10.0
zavodnje,2015,Feb,10.0
skale,2015,Feb,10.0
kovk,2015,Feb,13.0
dobovec,2015,Feb,4.0
sv. mohor,2015,Feb,11.0
lj center,2015,Feb,47.0
amp gaji,2015,Feb,35.0
zelena trava,2015,Feb,14.0
lj bezigrad,2015,Mar,32.0
maribor,2015,Mar,37.0
celje,2015,Mar,33.0
ms rakican,2015,Mar,14.0
nova gorica,2015,Mar,24.0
trbovlje,2015,Mar,19.0
zagorje,2015,Mar,34.0
koper,2015,Mar,15.0
iskrba,2015,Mar,7.0
vnajnarje,2015,Mar,6.0
zavodnje,2015,Mar,10.0
skale,2015,Mar,8.0
kovk,2015,Mar,10.0
dobovec,2015,Mar,4.0
sv. mohor,2015,Mar,9.0
lj center,2015,Mar,44.0
amp gaji,2015,Mar,26.0
zelena trava,2015,Mar,21.0
lj bezigrad,2015,Apr,22.0
maribor,2015,Apr,32.0
celje,2015,Apr,25.0
ms rakican,2015,Apr,11.0
nova gorica,2015,Apr,23.0
trbovlje,2015,Apr,17.0
zagorje,2015,Apr,24.0
koper,2015,Apr,14.0
iskrba,2015,Apr,6.0
vnajnarje,2015,Apr,5.0
zavodnje,2015,Apr,5.0
skale,2015,Apr,4.0
kovk,2015,Apr,6.0
dobovec,2015,Apr,3.0
sv. mohor,2015,Apr,5.0
lj center,2015,Apr,36.0
amp gaji,2015,Apr,20.0
zelena trava,2015,Apr,16.0
lj bezigrad,2015,Maj,18.0
maribor,2015,Maj,29.0
celje,2015,Maj,23.0
ms rakican,2015,Maj,8.0
nova gorica,2015,Maj,17.0
trbovlje,2015,Maj,13.0
zagorje,2015,Maj,19.0
koper,2015,Maj,11.0
iskrba,2015,Maj,5.0
vnajnarje,2015,Maj,4.0
zavodnje,2015,Maj,5.0
skale,2015,Maj,4.0
kovk,2015,Maj,6.0
dobovec,2015,Maj,2.0
sv. mohor,2015,Maj,4.0
lj center,2015,Maj,34.0
amp gaji,2015,Maj,19.0
zelena trava,2015,Maj,15.0
lj bezigrad,2015,Jun,18.0
maribor,2015,Jun,27.0
celje,2015,Jun,24.0
ms rakican,2015,Jun,10.0
nova gorica,2015,Jun,15.0
trbovlje,2015,Jun,13.0
zagorje,2015,Jun,18.0
koper,2015,Jun,13.0
iskrba,2015,Jun,4.0
vnajnarje,2015,Jun,6.0
zavodnje,2015,Jun,4.0
skale,2015,Jun,4.0
kovk,2015,Jun,5.0
dobovec,2015,Jun,2.0
sv. mohor,2015,Jun,1.0
lj center,2015,Jun,32.0
amp gaji,2015,Jun,17.0
zelena trava,2015,Jun,14.0
lj bezigrad,2015,Jul,20.0
maribor,2015,Jul,26.0
celje,2015,Jul,18.0
ms rakican,2015,Jul,9.0
nova gorica,2015,Jul,16.0
trbovlje,2015,Jul,13.0
zagorje,2015,Jul,17.0
koper,2015,Jul,14.0
iskrba,2015,Jul,5.0
vnajnarje,2015,Jul,6.0
zavodnje,2015,Jul,6.0
skale,2015,Jul,6.0
kovk,2015,Jul,4.0
dobovec,2015,Jul,1.0
sv. mohor,2015,Jul,2.0
lj center,2015,Jul,30.0
amp gaji,2015,Jul,17.0
zelena trava,2015,Jul,18.0
lj bezigrad,2015,Avg,23.0
maribor,2015,Avg,28.0
celje,2015,Avg,18.0
ms rakican,2015,Avg,9.0
nova gorica,2015,Avg,16.0
trbovlje,2015,Avg,13.0
zagorje,2015,Avg,15.0
koper,2015,Avg,13.0
iskrba,2015,Avg,7.0
vnajnarje,2015,Avg,7.0
zavodnje,2015,Avg,4.0
skale,2015,Avg,5.0
kovk,2015,Avg,4.0
dobovec,2015,Avg,1.0
sv. mohor,2015,Avg,1.0
lj center,2015,Avg,31.0
amp gaji,2015,Avg,4.0
zelena trava,2015,Avg,21.0
lj bezigrad,2015,Sep,26.0
maribor,2015,Sep,29.0
celje,2015,Sep,21.0
ms rakican,2015,Sep,9.0
nova gorica,2015,Sep,15.0
trbovlje,2015,Sep,14.0
zagorje,2015,Sep,18.0
koper,2015,Sep,11.0
iskrba,2015,Sep,4.0
vnajnarje,2015,Sep,9.0
zavodnje,2015,Sep,3.0
skale,2015,Sep,3.0
kovk,2015,Sep,4.0
dobovec,2015,Sep,1.0
sv. mohor,2015,Sep,3.0
lj center,2015,Sep,28.0
amp gaji,2015,Sep,14.0
zelena trava,2015,Sep,19.0
lj bezigrad,2015,Okt,30.0
maribor,2015,Okt,29.0
celje,2015,Okt,24.0
ms rakican,2015,Okt,11.0
nova gorica,2015,Okt,23.0
trbovlje,2015,Okt,18.0
zagorje,2015,Okt,20.0
koper,2015,Okt,13.0
iskrba,2015,Okt,8.0
vnajnarje,2015,Okt,10.0
zavodnje,2015,Okt,5.0
skale,2015,Okt,6.0
kovk,2015,Okt,6.0
dobovec,2015,Okt,2.0
sv. mohor,2015,Okt,6.0
lj center,2015,Okt,37.0
amp gaji,2015,Okt,16.0
zelena trava,2015,Okt,21.0
lj bezigrad,2015,Nov,41.0
maribor,2015,Nov,29.0
celje,2015,Nov,32.0
ms rakican,2015,Nov,18.0
nova gorica,2015,Nov,32.0
trbovlje,2015,Nov,26.0
zagorje,2015,Nov,29.0
koper,2015,Nov,23.0
iskrba,2015,Nov,7.0
vnajnarje,2015,Nov,18.0
zavodnje,2015,Nov,8.0
skale,2015,Nov,9.0
kovk,2015,Nov,10.0
dobovec,2015,Nov,3.0
sv. mohor,2015,Nov,10.0
lj center,2015,Nov,34.0
amp gaji,2015,Nov,27.0
zelena trava,2015,Nov,27.0
lj bezigrad,2015,Dec,44.0
maribor,2015,Dec,24.0
celje,2015,Dec,37.0
ms rakican,2015,Dec,20.0
nova gorica,2015,Dec,36.0
trbovlje,2015,Dec,26.0
zagorje,2015,Dec,33.0
koper,2015,Dec,33.0
iskrba,2015,Dec,20.0
vnajnarje,2015,Dec,18.0
zavodnje,2015,Dec,12.0
skale,2015,Dec,22.0
kovk,2015,Dec,13.0
dobovec,2015,Dec,2.0
sv. mohor,2015,Dec,15.0
lj center,2015,Dec,
amp gaji,2015,Dec,30.0
zelena trava,2015,Dec,27.0
lj bezigrad,2016,Jan,51.0
maribor,2016,Jan,29.0
celje,2016,Jan,43.0
ms rakican,2016,Jan,20.0
nova gorica,2016,Jan,34.0
trbovlje,2016,Jan,29.0
zagorje,2016,Jan,36.0
koper,2016,Jan,31.0
iskrba,2016,Jan,3.0
vnajnarje,2016,Jan,14.0
zavodnje,2016,Jan,8.0
skale,2016,Jan,21.0
kovk,2016,Jan,14.0
dobovec,2016,Jan,3.0
sv. mohor,2016,Jan,15.0
lj center,2016,Jan,40.0
amp gaji,2016,Jan,28.0
zelena trava,2016,Jan,28.0
lj bezigrad,2016,Feb,33.0
maribor,2016,Feb,35.0
celje,2016,Feb,29.0
ms rakican,2016,Feb,14.0
nova gorica,2016,Feb,25.0
trbovlje,2016,Feb,21.0
zagorje,2016,Feb,29.0
koper,2016,Feb,23.0
iskrba,2016,Feb,2.0
vnajnarje,2016,Feb,8.0
zavodnje,2016,Feb,4.0
skale,2016,Feb,11.0
kovk,2016,Feb,8.0
dobovec,2016,Feb,2.0
sv. mohor,2016,Feb,7.0
lj center,2016,Feb,34.0
amp gaji,2016,Feb,13.0
zelena trava,2016,Feb,13.0
lj bezigrad,2016,Mar,28.0
maribor,2016,Mar,29.0
celje,2016,Mar,27.0
ms rakican,2016,Mar,7.0
nova gorica,2016,Mar,20.0
trbovlje,2016,Mar,19.0
zagorje,2016,Mar,28.0
koper,2016,Mar,16.0
iskrba,2016,Mar,3.0
vnajnarje,2016,Mar,9.0
zavodnje,2016,Mar,5.0
skale,2016,Mar,10.0
kovk,2016,Mar,8.0
dobovec,2016,Mar,2.0
sv. mohor,2016,Mar,5.0
lj center,2016,Mar,35.0
amp gaji,2016,Mar,14.0
zelena trava,2016,Mar,12.0
lj bezigrad,2016,Apr,22.0
maribor,2016,Apr,21.0
celje,2016,Apr,21.0
ms rakican,2016,Apr,9.0
nova gorica,2016,Apr,16.0
trbovlje,2016,Apr,16.0
zagorje,2016,Apr,23.0
koper,2016,Apr,13.0
iskrba,2016,Apr,1.0
vnajnarje,2016,Apr,7.0
zavodnje,2016,Apr,4.0
skale,2016,Apr,7.0
kovk,2016,Apr,5.0
dobovec,2016,Apr,1.0
sv. mohor,2016,Apr,2.0
lj center,2016,Apr,30.0
amp gaji,2016,Apr,12.0
zelena trava,2016,Apr,6.0
lj bezigrad,2016,Maj,21.0
maribor,2016,Maj,20.0
celje,2016,Maj,18.0
ms rakican,2016,Maj,8.0
nova gorica,2016,Maj,13.0
trbovlje,2016,Maj,14.0
zagorje,2016,Maj,21.0
koper,2016,Maj,10.0
iskrba,2016,Maj,1.0
vnajnarje,2016,Maj,6.0
zavodnje,2016,Maj,3.0
skale,2016,Maj,5.0
kovk,2016,Maj,5.0
dobovec,2016,Maj,1.0
sv. mohor,2016,Maj,2.0
lj center,2016,Maj,34.0
amp gaji,2016,Maj,11.0
zelena trava,2016,Maj,7.0
lj bezigrad,2016,Jun,19.0
maribor,2016,Jun,
celje,2016,Jun,13.0
ms rakican,2016,Jun,8.0
nova gorica,2016,Jun,12.0
trbovlje,2016,Jun,12.0
zagorje,2016,Jun,17.0
koper,2016,Jun,11.0
iskrba,2016,Jun,1.0
vnajnarje,2016,Jun,6.0
zavodnje,2016,Jun,3.0
skale,2016,Jun,4.0
kovk,2016,Jun,4.0
dobovec,2016,Jun,0.0
sv. mohor,2016,Jun,2.0
lj center,2016,Jun,25.0
amp gaji,2016,Jun,8.0
zelena trava,2016,Jun,
lj bezigrad,2016,Jul,17.0
maribor,2016,Jul,19.0
celje,2016,Jul,11.0
ms rakican,2016,Jul,6.0
nova gorica,2016,Jul,19.0
trbovlje,2016,Jul,11.0
zagorje,2016,Jul,15.0
koper,2016,Jul,12.0
iskrba,2016,Jul,1.0
vnajnarje,2016,Jul,6.0
zavodnje,2016,Jul,4.0
skale,2016,Jul,5.0
kovk,2016,Jul,3.0
dobovec,2016,Jul,0.0
sv. mohor,2016,Jul,4.0
lj center,2016,Jul,25.0
amp gaji,2016,Jul,7.0
zelena trava,2016,Jul,
lj bezigrad,2016,Avg,17.0
maribor,2016,Avg,20.0
celje,2016,Avg,11.0
ms rakican,2016,Avg,11.0
nova gorica,2016,Avg,17.0
trbovlje,2016,Avg,12.0
zagorje,2016,Avg,14.0
koper,2016,Avg,9.0
iskrba,2016,Avg,1.0
vnajnarje,2016,Avg,5.0
zavodnje,2016,Avg,4.0
skale,2016,Avg,4.0
kovk,2016,Avg,3.0
dobovec,2016,Avg,0.0
sv. mohor,2016,Avg,3.0
lj center,2016,Avg,22.0
amp gaji,2016,Avg,6.0
zelena trava,2016,Avg,
lj bezigrad,2016,Sep,27.0
maribor,2016,Sep,17.0
celje,2016,Sep,13.0
ms rakican,2016,Sep,14.0
nova gorica,2016,Sep,23.0
trbovlje,2016,Sep,15.0
zagorje,2016,Sep,21.0
koper,2016,Sep,7.0
iskrba,2016,Sep,1.0
vnajnarje,2016,Sep,9.0
zavodnje,2016,Sep,5.0
skale,2016,Sep,6.0
kovk,2016,Sep,4.0
dobovec,2016,Sep,1.0
sv. mohor,2016,Sep,5.0
lj center,2016,Sep,27.0
amp gaji,2016,Sep,8.0
zelena trava,2016,Sep,
lj bezigrad,2016,Okt,28.0
maribor,2016,Okt,18.0
celje,2016,Okt,13.0
ms rakican,2016,Okt,15.0
nova gorica,2016,Okt,26.0
trbovlje,2016,Okt,18.0
zagorje,2016,Okt,23.0
koper,2016,Okt,12.0
iskrba,2016,Okt,2.0
vnajnarje,2016,Okt,11.0
zavodnje,2016,Okt,6.0
skale,2016,Okt,6.0
kovk,2016,Okt,7.0
dobovec,2016,Okt,1.0
sv. mohor,2016,Okt,6.0
lj center,2016,Okt,23.0
amp gaji,2016,Okt,17.0
zelena trava,2016,Okt,
lj bezigrad,2016,Nov,35.0
maribor,2016,Nov,32.0
celje,2016,Nov,20.0
ms rakican,2016,Nov,13.0
nova gorica,2016,Nov,35.0
trbovlje,2016,Nov,22.0
zagorje,2016,Nov,29.0
koper,2016,Nov,15.0
iskrba,2016,Nov,2.0
vnajnarje,2016,Nov,13.0
zavodnje,2016,Nov,6.0
skale,2016,Nov,9.0
kovk,2016,Nov,9.0
dobovec,2016,Nov,1.0
sv. mohor,2016,Nov,9.0
lj center,2016,Nov,28.0
amp gaji,2016,Nov,24.0
zelena trava,2016,Nov,
lj bezigrad,2016,Dec,53.0
maribor,2016,Dec,48.0
celje,2016,Dec,39.0
ms rakican,2016,Dec,20.0
nova gorica,2016,Dec,55.0
trbovlje,2016,Dec,33.0
zagorje,2016,Dec,37.0
koper,2016,Dec,21.0
iskrba,2016,Dec,3.0
vnajnarje,2016,Dec,20.0
zavodnje,2016,Dec,14.0
skale,2016,Dec,17.0
kovk,2016,Dec,3.0
dobovec,2016,Dec,1.0
sv. mohor,2016,Dec,18.0
lj center,2016,Dec,55.0
amp gaji,2016,Dec,37.0
zelena trava,2016,Dec,
lj bezigrad,2017,Jan,47.0
maribor,2017,Jan,42.0
celje,2017,Jan,45.0
ms rakican,2017,Jan,21.0
nova gorica,2017,Jan,44.0
trbovlje,2017,Jan,28.0
zagorje,2017,Jan,37.0
koper,2017,Jan,13.0
iskrba,2017,Jan,3.0
vnajnarje,2017,Jan,14.0
sostanj,2017,Jan,20.0
zavodnje,2017,Jan,13.0
skale,2017,Jan,13.0
kovk,2017,Jan,
dobovec,2017,Jan,
sv. mohor,2017,Jan,14.0
lj center,2017,Jan,65.0
ce gaji,2017,Jan,40.0
mb vrbanski,2017,Jan,27.0
lj bezigrad,2017,Feb,40.0
maribor,2017,Feb,35.0
celje,2017,Feb,34.0
ms rakican,2017,Feb,16.0
nova gorica,2017,Feb,42.0
trbovlje,2017,Feb,23.0
zagorje,2017,Feb,33.0
koper,2017,Feb,22.0
iskrba,2017,Feb,2.0
vnajnarje,2017,Feb,16.0
sostanj,2017,Feb,15.0
zavodnje,2017,Feb,11.0
skale,2017,Feb,16.0
kovk,2017,Feb,4.0
dobovec,2017,Feb,
sv. mohor,2017,Feb,10.0
lj center,2017,Feb,58.0
ce gaji,2017,Feb,28.0
mb vrbanski,2017,Feb,24.0
lj bezigrad,2017,Mar,37.0
maribor,2017,Mar,30.0
celje,2017,Mar,35.0
ms rakican,2017,Mar,
nova gorica,2017,Mar,37.0
trbovlje,2017,Mar,23.0
zagorje,2017,Mar,31.0
koper,2017,Mar,23.0
iskrba,2017,Mar,2.0
vnajnarje,2017,Mar,21.0
sostanj,2017,Mar,26.0
zavodnje,2017,Mar,8.0
skale,2017,Mar,11.0
kovk,2017,Mar,4.0
dobovec,2017,Mar,2.0
sv. mohor,2017,Mar,6.0
lj center,2017,Mar,60.0
ce gaji,2017,Mar,24.0
mb vrbanski,2017,Mar,15.0
lj bezigrad,2017,Apr,23.0
maribor,2017,Apr,24.0
celje,2017,Apr,24.0
ms rakican,2017,Apr,19.0
nova gorica,2017,Apr,26.0
trbovlje,2017,Apr,16.0
zagorje,2017,Apr,24.0
koper,2017,Apr,15.0
iskrba,2017,Apr,1.0
vnajnarje,2017,Apr,16.0
sostanj,2017,Apr,26.0
zavodnje,2017,Apr,5.0
skale,2017,Apr,8.0
kovk,2017,Apr,8.0
dobovec,2017,Apr,
sv. mohor,2017,Apr,3.0
lj center,2017,Apr,45.0
ce gaji,2017,Apr,17.0
mb vrbanski,2017,Apr,10.0
lj bezigrad,2017,Maj,21.0
maribor,2017,Maj,23.0
celje,2017,Maj,19.0
ms rakican,2017,Maj,25.0
nova gorica,2017,Maj,20.0
trbovlje,2017,Maj,13.0
zagorje,2017,Maj,20.0
koper,2017,Maj,15.0
iskrba,2017,Maj,1.0
vnajnarje,2017,Maj,16.0
sostanj,2017,Maj,30.0
zavodnje,2017,Maj,4.0
skale,2017,Maj,3.0
kovk,2017,Maj,4.0
dobovec,2017,Maj,
sv. mohor,2017,Maj,2.0
lj center,2017,Maj,45.0
ce gaji,2017,Maj,15.0
mb vrbanski,2017,Maj,8.0
lj bezigrad,2017,Jun,20.0
maribor,2017,Jun,25.0
celje,2017,Jun,19.0
ms rakican,2017,Jun,26.0
nova gorica,2017,Jun,20.0
trbovlje,2017,Jun,13.0
zagorje,2017,Jun,20.0
koper,2017,Jun,16.0
iskrba,2017,Jun,1.0
vnajnarje,2017,Jun,20.0
sostanj,2017,Jun,10.0
zavodnje,2017,Jun,4.0
skale,2017,Jun,5.0
kovk,2017,Jun,
dobovec,2017,Jun,
sv. mohor,2017,Jun,4.0
lj center,2017,Jun,45.0
ce gaji,2017,Jun,13.0
mb vrbanski,2017,Jun,8.0
lj bezigrad,2017,Jul,19.0
maribor,2017,Jul,20.0
celje,2017,Jul,18.0
ms rakican,2017,Jul,21.0
nova gorica,2017,Jul,18.0
trbovlje,2017,Jul,12.0
zagorje,2017,Jul,18.0
koper,2017,Jul,16.0
iskrba,2017,Jul,1.0
vnajnarje,2017,Jul,15.0
sostanj,2017,Jul,25.0
zavodnje,2017,Jul,3.0
skale,2017,Jul,5.0
kovk,2017,Jul,
dobovec,2017,Jul,
sv. mohor,2017,Jul,5.0
lj center,2017,Jul,43.0
ce gaji,2017,Jul,13.0
mb vrbanski,2017,Jul,7.0
lj bezigrad,2017,Avg,20.0
maribor,2017,Avg,21.0
celje,2017,Avg,21.0
ms rakican,2017,Avg,18.0
nova gorica,2017,Avg,21.0
trbovlje,2017,Avg,14.0
zagorje,2017,Avg,18.0
koper,2017,Avg,15.0
iskrba,2017,Avg,1.0
vnajnarje,2017,Avg,14.0
sostanj,2017,Avg,20.0
zavodnje,2017,Avg,5.0
skale,2017,Avg,7.0
kovk,2017,Avg,
dobovec,2017,Avg,
sv. mohor,2017,Avg,4.0
lj center,2017,Avg,46.0
ce gaji,2017,Avg,14.0
mb vrbanski,2017,Avg,7.0
lj bezigrad,2017,Sep,23.0
maribor,2017,Sep,23.0
celje,2017,Sep,21.0
ms rakican,2017,Sep,20.0
nova gorica,2017,Sep,23.0
trbovlje,2017,Sep,18.0
zagorje,2017,Sep,19.0
koper,2017,Sep,11.0
iskrba,2017,Sep,1.0
vnajnarje,2017,Sep,16.0
sostanj,2017,Sep,14.0
zavodnje,2017,Sep,3.0
skale,2017,Sep,7.0
kovk,2017,Sep,
dobovec,2017,Sep,
sv. mohor,2017,Sep,4.0
lj center,2017,Sep,41.0
ce gaji,2017,Sep,18.0
mb vrbanski,2017,Sep,9.0
lj bezigrad,2017,Okt,36.0
maribor,2017,Okt,29.0
celje,2017,Okt,30.0
ms rakican,2017,Okt,18.0
nova gorica,2017,Okt,33.0
trbovlje,2017,Okt,26.0
zagorje,2017,Okt,26.0
koper,2017,Okt,18.0
iskrba,2017,Okt,1.0
vnajnarje,2017,Okt,17.0
sostanj,2017,Okt,17.0
zavodnje,2017,Okt,6.0
skale,2017,Okt,3.0
kovk,2017,Okt,
dobovec,2017,Okt,
sv. mohor,2017,Okt,6.0
lj center,2017,Okt,50.0
ce gaji,2017,Okt,23.0
mb vrbanski,2017,Okt,13.0
lj bezigrad,2017,Nov,36.0
maribor,2017,Nov,27.0
celje,2017,Nov,31.0
ms rakican,2017,Nov,22.0
nova gorica,2017,Nov,37.0
trbovlje,2017,Nov,29.0
zagorje,2017,Nov,27.0
koper,2017,Nov,20.0
iskrba,2017,Nov,3.0
vnajnarje,2017,Nov,17.0
sostanj,2017,Nov,17.0
zavodnje,2017,Nov,7.0
skale,2017,Nov,9.0
kovk,2017,Nov,
dobovec,2017,Nov,
sv. mohor,2017,Nov,9.0
lj center,2017,Nov,46.0
ce gaji,2017,Nov,28.0
mb vrbanski,2017,Nov,17.0
lj bezigrad,2017,Dec,43.0
maribor,2017,Dec,29.0
celje,2017,Dec,36.0
ms rakican,2017,Dec,24.0
nova gorica,2017,Dec,43.0
trbovlje,2017,Dec,32.0
zagorje,2017,Dec,26.0
koper,2017,Dec,27.0
iskrba,2017,Dec,3.0
vnajnarje,2017,Dec,20.0
sostanj,2017,Dec,19.0
zavodnje,2017,Dec,8.0
skale,2017,Dec,11.0
kovk,2017,Dec,
dobovec,2017,Dec,
sv. mohor,2017,Dec,12.0
lj center,2017,Dec,59.0
ce gaji,2017,Dec,32.0
mb vrbanski,2017,Dec,17.0
lj bezigrad,2018,Jan,36.0
maribor,2018,Jan,27.0
celje,2018,Jan,30.0
ms rakican,2018,Jan,19.0
nova gorica,2018,Jan,39.0
trbovlje,2018,Jan,22.0
zagorje,2018,Jan,23.0
koper,2018,Jan,24.0
iskrba,2018,Jan,3.0
sostanj,2018,Jan,18.0
zavodnje,2018,Jan,8.0
skale,2018,Jan,11.0
sv. mohor,2018,Jan,9.0
lj center,2018,Jan,51.0
ce gaji,2018,Jan,27.0
mb vrbanski,2018,Jan,23.0
lj bezigrad,2018,Feb,37.0
maribor,2018,Feb,29.0
celje,2018,Feb,39.0
ms rakican,2018,Feb,17.0
nova gorica,2018,Feb,27.0
trbovlje,2018,Feb,25.0
zagorje,2018,Feb,32.0
koper,2018,Feb,17.0
iskrba,2018,Feb,3.0
sostanj,2018,Feb,19.0
zavodnje,2018,Feb,7.0
skale,2018,Feb,12.0
sv. mohor,2018,Feb,10.0
lj center,2018,Feb,62.0
ce gaji,2018,Feb,30.0
mb vrbanski,2018,Feb,19.0
lj bezigrad,2018,Mar,32.0
maribor,2018,Mar,31.0
celje,2018,Mar,34.0
ms rakican,2018,Mar,15.0
nova gorica,2018,Mar,22.0
trbovlje,2018,Mar,22.0
zagorje,2018,Mar,25.0
koper,2018,Mar,24.0
iskrba,2018,Mar,3.0
sostanj,2018,Mar,14.0
zavodnje,2018,Mar,8.0
skale,2018,Mar,12.0
sv. mohor,2018,Mar,9.0
lj center,2018,Mar,62.0
ce gaji,2018,Mar,26.0
mb vrbanski,2018,Mar,24.0
lj bezigrad,2018,Apr,22.0
maribor,2018,Apr,22.0
celje,2018,Apr,24.0
ms rakican,2018,Apr,10.0
nova gorica,2018,Apr,23.0
trbovlje,2018,Apr,15.0
zagorje,2018,Apr,18.0
koper,2018,Apr,22.0
iskrba,2018,Apr,2.0
sostanj,2018,Apr,9.0
zavodnje,2018,Apr,3.0
skale,2018,Apr,5.0
sv. mohor,2018,Apr,4.0
